	worker_id	worker_platform	worker_browser	battery_name	battery_owner	battery_owner_email	battery_completed	experiment_include_bonus	experiment_include_catch	experiment_exp_id	experiment_name	experiment_reference	experiment_cognitive_atlas_task_id	result_SS_delay	result_SS_duration	result_SS_stimulus	result_SS_trial_type	result_block_duration	result_condition	result_correct	result_correct_response	result_current_trial	result_dateTime	result_exp_id	result_exp_stage	result_feedback_duration	result_global_shape	result_internal_node_id	result_key_press	result_large_amt	result_later_del	result_local_shape	result_mouse_click	result_num_response	result_page_num	result_possible_responses	result_qnum	result_response_range	result_rt	result_score_response	result_small_amt	result_stim_duration	result_stim_id	result_stim_question	result_stim_response	result_stimulus	result_switch	result_time_elapsed	result_times_viewed	result_timing_post_trial	result_trial	result_trial_id	result_trial_index	result_trial_num	result_trial_type	result_id	result_view_history
60fc067b-e0cc-46c6-9d00-0fa3d4323841_1	60fc067b-e0cc-46c6-9d00-0fa3d4323841	Linux,	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	eating_questionnaire	R18: Three factor eating questionnaire	http://jn.nutrition.org/content/134/9/2372.long#sec-18	trm_56aac5f6e4702									1	1454453184903	eating_questionnaire				0.0-1.0											52274									56129					1		poldrack-instructions	27	"[{""page_index"":0,""viewing_time"":52273}]"
60fc067b-e0cc-46c6-9d00-0fa3d4323841_2	60fc067b-e0cc-46c6-9d00-0fa3d4323841	Linux,	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True															2	1454453221222					0.0-2.0																				92440					2		poldrack-survey-multi-choice	27	
7ce0474b-9095-4507-a01b-767445a1c93d_9	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					1292	local	True	51	9	1454525256523	theories_of_willpower	practice	1000	square	0.0-2.0	51	25	53	triangle	tol_peg_3	1	2	[49, 50, 51, 52]	2	[1, 6]	9731	6	19	1292	2	When situations accumulate that challenge you with temptations, it gets more and more difficult to resist the temptations.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_squareoftriangles.png""</img></div>"	1	280957	1	500		stim	2	7	poldrack-survey-multi-choice	44	
7ce0474b-9095-4507-a01b-767445a1c93d_10	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					1522	local	True	49	10	1454525256524	theories_of_willpower	practice	1000	square	0.0-2.0	49	85	7	circle	tol_peg_1	1	2	[49, 50, 51, 52]	3	[1, 6]	9731	1	31	1522		If you have just resisted a strong temptation, you feel strengthened and you can withstand any new temptations.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_squareofcircles.png""</img></div>"	0	280958	1	500		stim	2	8	poldrack-survey-multi-choice	44	"[{""page_index"":0,""viewing_time"":24801}]"
7ce0474b-9095-4507-a01b-767445a1c93d_11	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					2130	global	True	51	11	1454525256525	theories_of_willpower	practice	1000	triangle	0.0-2.0	51	25	19	X	tol_peg_2	1	2	[49, 50, 51, 52]	4	[1, 6]	9731	6	14	2130		It is particularly difficult to resist a temptation after resisting another temptation right before.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/black_triangleofXs.png""</img></div>"	1	280959	1	500		stim	2	9	poldrack-survey-multi-choice	44	
7ce0474b-9095-4507-a01b-767445a1c93d_12	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					1969	local	False	49	12	1454525256526	theories_of_willpower	practice	1000	square	0.0-2.0	52	50	160	circle		1	2	[49, 50, 51, 52]	5	[1, 6]	9731	1	47	1969		Resisting temptations activates your willpower and you become even better able to face new upcoming temptations.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_squareofcircles.png""</img></div>"	1	280960	1	500		stim	2	10	poldrack-survey-multi-choice	44	
7ce0474b-9095-4507-a01b-767445a1c93d_13	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					2534	global	False	51	13	1454525256527	theories_of_willpower	practice	1000	triangle	0.0-2.0	52	35	13	square		1	2	[49, 50, 51, 52]	6	[1, 6]	9731	1	15	2534		Your capacity to resist temptations is not limited. Even after you have resisted a strong temptation you can control yourself right afterwards.	Strongly agree	"<div class = centerbox><img src = ""/static/experiments/local_global/images/black_triangleofsquares.png""</img></div>"	1	280961	1	500		stim	2	11	poldrack-survey-multi-choice	44	
7ce0474b-9095-4507-a01b-767445a1c93d_14	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					1408	local	True	50	14	1454525256531	theories_of_willpower	practice	1000	square	0.0-2.0	50	60	14	X	tol_peg_2	1	1	[49, 50, 51, 52]	13	[1, 2]	110039	1	25	1408		Do you think an evening out is more successful if it is unplanned or arranged at the last moment?	No	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_squareofXs.png""</img></div>"	1	280963	1	500		stim	2	12	poldrack-survey-multi-choice	44	"[{""page_index"":0,""viewing_time"":100293},{""page_index"":1,""viewing_time"":9731}]"
7ce0474b-9095-4507-a01b-767445a1c93d_15	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	theories_of_willpower	Theories of Willpower Scale	http://pss.sagepub.com/content/early/2010/09/28/0956797610384745.full#sec-22	trm_56a91a3082c31					2665	local	True	50	15	1454525259103	theories_of_willpower	practice	1000	triangle	0.0-3.0	13	80	192	X	tol_peg_3	1	1	[49, 50, 51, 52]	14	[1, 2]	1565	1	78	2665		Do you usually work quickly, without bothering to check?	No	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_triangleofXs.png""</img></div>"	0	283536	1	500		stim	3	13	text	44	"[{""page_index"":0,""viewing_time"":29605}]"
7ce0474b-9095-4507-a01b-767445a1c93d_16	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	local_global	Local-Global	http://www.sciencedirect.com/science/article/pii/S001002859990734X	trm_4f241d7adf14e					3236	local	True	51	16	1454524843128	local_global	practice	1000	X	0.0-3.0-12.0	51	55	62	triangle	tol_peg_1	1	1	[49, 50, 51, 52]	15	[1, 2]	3236	1	40	3236		Do you often change your interests?	No	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_Xoftriangles.png""</img></div>"	0	71118852	1	500		stim	16	14	poldrack-categorize	32	
7ce0474b-9095-4507-a01b-767445a1c93d_17	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	local_global	Local-Global	http://www.sciencedirect.com/science/article/pii/S001002859990734X	trm_4f241d7adf14e					2105	local	True	52	17	1454524846743	local_global	practice	1000	square	0.0-3.0-13.0	52	30	7	square	tol_peg_2	2	2	[49, 50, 51, 52]	1	[1, 2]	2105	2	11	2105		Would you enjoy water skiing?	Yes	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_squareofsquares.png""</img></div>"	0	71122468	1	500		stim	17	15	poldrack-categorize	32	
7ce0474b-9095-4507-a01b-767445a1c93d_18	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	local_global	Local-Global	http://www.sciencedirect.com/science/article/pii/S001002859990734X	trm_4f241d7adf14e					2577	global	False	52	18	1454524850831	local_global	practice	1000	square	0.0-3.0-14.0	49	75	119	circle		2	2	[49, 50, 51, 52]	2	[1, 2]	2577	1	67	2577		Usually do you prefer to stick to brands you know are reliable to trying new ones on the chance of finding something better?	Yes	"<div class = centerbox><img src = ""/static/experiments/local_global/images/black_squareofcircles.png""</img></div>"	1	71126555	1	500		stim	18	16	poldrack-categorize	32	
7ce0474b-9095-4507-a01b-767445a1c93d_19	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	local_global	Local-Global	http://www.sciencedirect.com/science/article/pii/S001002859990734X	trm_4f241d7adf14e					1154	local	True	49	19	1454524853493	local_global	practice	1000	triangle	0.0-3.0-15.0	49	35	186	circle		2	2	[49, 50, 51, 52]	3	[1, 2]	1154	2	34	1154		Do you quite enjoy taking risks?	Yes	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_triangleofcircles.png""</img></div>"	1	71129218	1	500		stim	19	17	poldrack-categorize	32	
7ce0474b-9095-4507-a01b-767445a1c93d_20	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	local_global	Local-Global	http://www.sciencedirect.com/science/article/pii/S001002859990734X	trm_4f241d7adf14e					2000	local	True	52	20	1454524855610	local_global	practice	1000	circle	0.0-3.0-16.0	-1	50	21	square	tol_peg_1	2	2	[37, 40]	4	[1, 2]	-1	2	27	2000		Would you enjoy parachute jumping?	Yes	<div class = centerbox><div class = fixation>+</div></div>	0	71131335	1	0		stim	20	18	poldrack-categorize	32	
7ce0474b-9095-4507-a01b-767445a1c93d_21	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	local_global	Local-Global	http://www.sciencedirect.com/science/article/pii/S001002859990734X	trm_4f241d7adf14e					3620	local	False	52	21	1454524858623	local_global	practice	1000	X	0.0-3.0-17.0	50	85	91	square	tol_peg_3	2	2	[49, 50, 51, 52]	5	[1, 2]	3620	1	69	3620		Do you think hitch-hiking is too dangerous a way to travel?	Yes	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_circleofsquares.png""</img></div>"	0	71134348	1	500		stim	21	19	poldrack-categorize	32	
7ce0474b-9095-4507-a01b-767445a1c93d_22	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	local_global	Local-Global	http://www.sciencedirect.com/science/article/pii/S001002859990734X	trm_4f241d7adf14e					2125	global	True	50	22	1454524862256	local_global	practice	1000	X	0.0-3.0-18.0	50	60	89	circle	tol_peg_2	2	2	[49, 50, 51, 52]	6	[1, 2]	2125	2	49	2125		Do you like diving off the highboard?	Yes	"<div class = centerbox><img src = ""/static/experiments/local_global/images/black_Xofcircles.png""</img></div>"	1	71137980	1	500		stim	22	20	poldrack-categorize	32	
7ce0474b-9095-4507-a01b-767445a1c93d_23	7ce0474b-9095-4507-a01b-767445a1c93d	Mac OS X,10.10.5	Chrome,48.0.2564	Internal Test Battery	ian	ianeisenberg90@gmail.com	True	False	False	local_global	Local-Global	http://www.sciencedirect.com/science/article/pii/S001002859990734X	trm_4f241d7adf14e					896	local	False	50	23	1454524864663	local_global	practice	1000	triangle	0.0-3.0-19.0	49	85	157	X	tol_peg_1	2	2	[49, 50, 51, 52]	7	[1, 2]	896	2	80	896		Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	Yes	"<div class = centerbox><img src = ""/static/experiments/local_global/images/blue_triangleofXs.png""</img></div>"	1	71140388	1	500		stim	23	21	poldrack-categorize	32	
